Protein	logFC	AveExpr	t	P.Value	adj.P.Val	B	status	Comparison	Gene
O35405	0.39	21.81	1.1060093028904345	0.2816295998063579	0.5834411253317382	-6.06	Not significant	Venom + Actn 15mg vs Venom	Pld3
P28271	0.46	17.32	1.1014976907959222	0.2835411368286097	0.5854940357889473	-6.07	Not significant	Venom + Actn 15mg vs Venom	Aco1
O09114	0.39	22.9	1.0501369551163269	0.3059696643197402	0.6042687786202136	-6.07	Not significant	Venom + Actn 15mg vs Venom	Ptgds
O09051	-0.48	20.77	-1.0393445158961063	0.3108393888638568	0.6064228568018801	-6.07	Not significant	Venom + Actn 15mg vs Venom	Guca2b
Q9D6R2	0.63	18.28	1.0954216448469016	0.28613041484305424	0.5889286208420146	-6.07	Not significant	Venom + Actn 15mg vs Venom	Idh3a
O35409	0.47	15.47	1.040514239787369	0.31030894800055847	0.6064228568018801	-6.08	Not significant	Venom + Actn 15mg vs Venom	Folh1
O89023	0.65	19.3	1.0817259077515937	0.29202965419528004	0.5923461429823247	-6.08	Not significant	Venom + Actn 15mg vs Venom	Tpp1
P98197	0.46	15.32	1.0794019510654562	0.2930393245684599	0.5923461429823247	-6.09	Not significant	Venom + Actn 15mg vs Venom	Atp11a
Q9WVT6	0.36	16.73	0.8647271320126374	0.39726999536174357	0.675571435962751	-6.09	Not significant	Venom + Actn 15mg vs Venom	Ca14
Q922U2	0.61	19.19	1.0600180208692975	0.3015590631230298	0.6031181262460596	-6.11	Not significant	Venom + Actn 15mg vs Venom	Krt5
Q9DC11	0.61	16.62	1.0652220629022526	0.29925451566471106	0.6022970631732792	-6.11	Not significant	Venom + Actn 15mg vs Venom	Plxdc2
