"","Mix_A_REP_1","Mix_A_REP_2","Mix_A_REP_3","Mix_A_REP_4","Mix_A_REP_5","Mix_B_REP_1","Mix_B_REP_2","Mix_B_REP_3","Mix_B_REP_4","Mix_B_REP_5","Mix_C_REP_1","Mix_C_REP_2","Mix_C_REP_3","Mix_C_REP_4","Mix_C_REP_5"
"SMD2",24.5491204302689,24.9757163165393,25.3944425778664,25.4292971952567,25.5405300260345,22.7534843588564,22.810577223975,22.6528043905076,22.7776540418949,22.773421458655,21.1541179782543,21.6662431851443,21.2297460530384,21.4154806734906,21.7500324377655
"SMD3",22.9499506414554,23.416644598617,23.5366724266232,23.354538206106,23.9930120447981,21.9758671179002,22.4032402724767,21.9302497943331,22.3861826014284,22.2282034943542,21.2355598260467,21.4194275067489,20.9979020067553,21.2535425411844,21.2565155168211
"SMF2",23.2289098246637,0.1,0.1,25.7803057942136,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,21.0428511626103
"SMF3",26.6894476952381,26.9875248680394,27.3575407376131,27.3569473127509,27.3579224412436,25.3010991596974,25.4218846976242,25.3220749262025,25.3603023453836,25.3020202789147,24.1655395115426,24.2487916574965,24.0423043828325,23.9985688246623,24.0813778656133
"SMI1",25.022174121103,25.4504923086937,25.6745271243407,25.6496510282001,25.7716426258925,23.2984947354096,23.3874015567028,23.1663462317951,23.3210975236115,23.1468374382707,22.32380561114,22.1282985079257,21.8563679639377,22.2125947898323,22.2158739230938
"SML1",23.4294273024608,23.8988995170368,24.1208028859187,22.7026444906148,24.5594395855485,20.6435143853638,20.9894586015065,20.6274234495555,20.6759465911602,20.9456768153348,19.4325825504413,19.4590431982591,19.2862088829825,18.8623569915775,19.4635355983841
"SMM1",25.0357463981252,25.2959698640266,25.0412775150658,25.3358706590164,24.9870350939839,23.2196616039436,22.8001453111277,22.0705266781635,22.7587560226436,22.1877851849849,0.1,0.1,0.1,0.1,0.1
"SMT3",28.8159815782189,29.1576972651572,28.0153692853326,28.1997894520789,28.340062655437,26.7574089454165,26.5879389845855,26.8243449546459,26.7666036296702,26.5378180847088,25.5846196699036,25.641768351348,25.6852582710861,25.8006964555508,25.7250548066693
"SMX2",0.1,0.1,0.1,0.1,0.1,22.9635420687514,22.5931211758324,22.7757264103873,22.7215810117785,22.248031495838,22.2755623053042,22.4008442659102,0.1,22.1972450444791,22.5761916073574
"SMX3",25.0043131055582,25.3314888836859,25.7815843616606,25.0131758222221,25.894089853184,0.1,0.1,0.1,22.8048058540658,21.3772629652649,0.1,0.1,0.1,0.1,0.1
