"","Mix_A_REP_1","Mix_A_REP_2","Mix_A_REP_3","Mix_A_REP_4","Mix_A_REP_5","Mix_B_REP_1","Mix_B_REP_2","Mix_B_REP_3","Mix_B_REP_4","Mix_B_REP_5","Mix_C_REP_1","Mix_C_REP_2","Mix_C_REP_3","Mix_C_REP_4","Mix_C_REP_5"
"ICAM1",4.43685334853325,4.51447296946534,4.47593144732429,0.1,4.52616473720651,4.47849616122593,4.51076916381636,4.52069025502134,4.51650667827712,4.48955947694988,4.50917480455561,4.52127426131472,4.4921773766526,4.51073344965281,4.51866427765318
"ICE2",4.52858469207319,4.57446316843664,4.53519783519109,4.5319503242943,4.53797314139352,4.39455887532527,4.40876065725489,4.40828352023491,0.1,4.38929135531127,0.1,0.1,4.34903211261659,4.36063977545925,0.1
"ICMT",0.1,0.1,0.1,0.1,0.1,4.39661808684109,4.41760543407136,0.1,0.1,0.1,4.43231822479351,4.4310650677969,4.3801756220063,4.38052037253499,4.35945989981841
"ICP55",4.43067880653881,4.49211803555037,4.45467555506989,4.51171033339852,4.4069976062267,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"IDE",4.64073617032101,4.70248022241797,4.71365941413261,4.70723822558554,4.71252333761951,4.68988399203202,4.68797573768099,4.69086425096075,4.69170699823294,4.68618974564345,4.69330559813665,4.69158377024132,4.68488686716268,4.68781624492191,4.69000922667362
"IDH1",4.8874016202681,4.89803370677927,4.91294654685874,4.91105392111214,4.92818345826027,4.82097535991152,4.82410625461148,4.82661453767578,4.83349501375067,4.83550471588473,4.7819764054094,4.78482802377923,4.78300465576926,4.78241295758814,4.79333530507943
"IDH2",4.94055087437002,4.90657375226837,4.91754432258763,4.92477320221616,4.9311634136997,4.82460351028048,4.83884019320468,4.83768311642841,4.83489170699213,4.8435751990659,4.78333382132412,4.78642945760068,4.78003510685636,4.78795641626958,4.78377521366884
"IDH3A",4.66872024311109,4.68001102169099,4.69329158250702,4.70613053754476,4.68411003049096,4.68963545119211,4.70378893626079,4.69677035405681,4.69915023560158,4.69909799620326,4.69552065088269,4.69460237027678,4.69124817358983,4.69229384203413,4.69612013609491
"IDH3B",4.61642093656064,4.65106773278854,4.68084759072367,4.66836669361133,4.65632469701536,4.64188210456996,4.63913635768965,4.63003835061495,4.63188537036449,4.63216307683234,4.6409431183276,4.64082884510415,4.63076432353427,4.64118282859595,4.63321281151265
"IDH3G",4.59043068851387,4.61889702523239,4.62591625204636,0.1,0.1,4.58088009635715,4.57037991455602,4.57180471080241,4.57794663057149,4.57948638311896,4.57749893854694,4.56697346720475,4.57127591707569,4.57432865156047,4.57284619938087
